host,db,connection_prefix,identity,index
azleccdbus001,uec,SAP_ORACLE,SAP_ORACLE_NONPROD,enterprise_sap_oracledb_nprd
azleccdbus002,uec,SAP_ORACLE,SAP_ORACLE_NONPROD,enterprise_sap_oracledb_nprd
azlpordbus001,uep,SAP_ORACLE,SAP_ORACLE_NONPROD,enterprise_sap_oracledb_nprd
azlpordbus002,uep,SAP_ORACLE,SAP_ORACLE_NONPROD,enterprise_sap_oracledb_nprd
azlsltdbus001,ul2,SAP_ORACLE,SAP_ORACLE_NONPROD,enterprise_sap_oracledb_nprd
azlsltdbus002,ul2,SAP_ORACLE,SAP_ORACLE_NONPROD,enterprise_sap_oracledb_nprd
azlspidbus007,upo,SAP_ORACLE,SAP_ORACLE_NONPROD,enterprise_sap_oracledb_nprd
azlspidbus008,upo,SAP_ORACLE,SAP_ORACLE_NONPROD,enterprise_sap_oracledb_nprd
azlspidbus001,uo1,SAP_ORACLE,SAP_ORACLE_NONPROD,enterprise_sap_oracledb_nprd
azlspidbus002,uo2,SAP_ORACLE,SAP_ORACLE_NONPROD,enterprise_sap_oracledb_nprd
azlspidbus003,uo3,SAP_ORACLE,SAP_ORACLE_NONPROD,enterprise_sap_oracledb_nprd
azlspidbus004,uo4,SAP_ORACLE,SAP_ORACLE_NONPROD,enterprise_sap_oracledb_nprd
azlspidbus005,uo5,SAP_ORACLE,SAP_ORACLE_NONPROD,enterprise_sap_oracledb_nprd
azlspidbus006,uo6,SAP_ORACLE,SAP_ORACLE_NONPROD,enterprise_sap_oracledb_nprd
azlmecdbus001,umc,SAP_ORACLE,SAP_ORACLE_NONPROD,enterprise_sap_oracledb_nprd
azlgwydbus001,ug1,SAP_ORACLE,SAP_ORACLE_NONPROD,enterprise_sap_oracledb_nprd
azlsiddbus001,uim,SAP_ORACLE,SAP_ORACLE_NONPROD,enterprise_sap_oracledb_nprd
